ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Location	Gen	Sex	Photo	Breeding_nest	Bury	Eggs	Instar
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	1	S9585	n7585	WL	5_3	WT	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	2	S9550	n7568	WL	3_1	WT	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	3	T2124	NA	BF	3	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	4	S9562	n7580	BF	16_16	WT	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	5	T2137	NA	BF	10	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	6	T2120	NA	BF	2	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	7	T2134	NA	BF	8	WC	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	8	S9587	n7585	WL	5_3	WT	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	9	T2119	NA	BF	1	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	10	T2128	NA	BF	7	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	11	T2136	NA	BF	8	WC	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	12	T2130	NA	BF	8	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	13	T2125	NA	BF	3	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	14	T1835	NA	WL	5	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	15	T2123	NA	BF	2	WC	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	16	T2132	NA	BF	8	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	17	T2141	NA	BF	16	WC	F	L	n8039	1	0	1
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	18	T2129	NA	BF	8	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	19	T2118	NA	BF	1	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	20	S9547	n7568	WL	3_1	WT	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	21	T2122	NA	BF	2	WC	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	22	T2126	NA	BF	3	WC	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	23	T2131	NA	BF	8	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	24	T2139	NA	BF	11	WC	M	L	n8039	1	0	1
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	25	T2133	NA	BF	8	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	26	T1836	NA	WL	7	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	27	T2140	NA	BF	11	WC	M	L	n8038	1	0	1
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	28	T2135	NA	BF	8	WC	F	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	29	T2121	NA	BF	2	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	30	T2138	NA	BF	10	WC	F	L	n8038	1	0	1
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	31	T2143	NA	BF	4	WC	M	L				
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	32	T2127	NA	BF	3	WC	F	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	1	T2795	NA	SC	HPG	WC	F	L	n8062	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	2	T2828	NA	SC	ZKG	WC	F	L	n8066	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	3	T0223	n7726	BF	5_4	WT	M	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	4	T2741	NA	SC	ZKG	WC	M	L	n8059	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	5	T2794	NA	SC	HPG	WC	M	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	6	T2813	NA	SC	ZKG	WC	M	L	n8064	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	7	T2793	NA	SC	HPG	WC	M	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	8	T2762	NA	SC	ZKG	WC	M	L	n8063	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	9	T2783	NA	SC	HPG	WC	M	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	10	T2791	NA	SC	HPG	WC	F	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	11	T2812	NA	SC	ZKG	WC	F	L	n8060	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	12	T2830	NA	SC	ZKG	WC	F	L	n8059	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	13	T2771	NA	SC	MZG	WC	F	L	n8070	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	14	T2829	NA	SC	ZKG	WC	M	L	n8056	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	15	T2781	NA	SC	HPG	WC	M	L	n8061	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	16	T2768	NA	SC	ZKG	WC	M	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	17	T2776	NA	SC	HPG	WC	M	L	n8055	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	18	T2790	NA	SC	HPG	WC	F	L	n8061	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	19	T2767	NA	SC	ZKG	WC	F	L	n8075	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	20	T2756	NA	SC	ZKG	WC	M	L	n8054	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	21	T2796	NA	SC	HPG	WC	F	L	n8063	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	22	T2765	NA	SC	ZKG	WC	M	L	n8062	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	23	T2774	NA	SC	MZG	WC	F	L	n8073	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	24	T2754	NA	SC	ZKG	WC	F	L	n8072	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	25	T2792	NA	SC	HPG	WC	F	L	n8055	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	26	T2766	NA	SC	ZKG	WC	F	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	27	T2758	NA	SC	ZKG	WC	M	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	28	T2759	NA	SC	MZG	WC	F	L	n8065	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	29	T0616	n7722	BF	4_5	WT	F	L				
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	30	T2760	NA	SC	MZG	WC	F	L	n8084	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	31	T2826	NA	SC	ZKG	WC	M	L	n8060	1	0	1
Loc1123-1	Monitor20201123_1127(1)_edit	warmroom	soil	LD_DD_8	32	T2753	NA	SC	ZKG	WC	F	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	1	TNY_3361	NA	MF	KFS	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	2	T2809	NA	SC	ZKG	WC	M	L	n8072	1	0	1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	3	TNY_3354	NA	MF	KFS	WC	M	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	4	TNY_3358	NA	MF	KFS	WC	F	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	5	T2825	NA	SC	HPG	WC	F	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	6	TNY_3351	NA	MF	KFS	WC	M	L				1
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	7	T2816	NA	SC	MZG	WC	M	L				
Loc1123-2	Monitor20201123_1127(2)_edit	warmroom	soil	LD_DD_8	8	T2824	NA	SC	HPG	WC	F	L				
