ExpID	File_Name	Env	Setup	LD_cycle	Num	ID	Nest	Source	Phenotype	Location	Gen	Sex	Photo	Subj_activity	Act_index	Breeding_nest	Start_Date	End_Date	Soil	Bury	Eggs	Instar	Distance	Carcass	Phenotype	expression	phen_idx
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	18	S9172	n7584	BF	0	8_8	WT	M	S	Active	1												0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	19	S9489	n7583	WL	0	1_1	WT	M	S	Active	1	n7974	10/8/20	10/22/21	9.512	1	1	1	8.82	0	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	20	S9308	n7575	BF	0	15_17	WT	F	S	Highly Active	1	n7979	10/8/20	10/22/20	9.548	1	0	1	0.839 on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	21	S9188	n7584	BF	0	8_8	WT	M	L	Inactive	0	n7978	10/8/20	10/13/20	10.185	1	0	0	6.393	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	22	S9227	n7565	WL	0	1_1	WT	M	S	Highly Active	1	n7972	10/8/20	10/22/20	9.493	1	1	1	5.922 next to a larva	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	23	S9212	n7565	WL	0	1_1	WT	M	L	Active	1	n7968	10/8/20	10/13/20	10.071	0	0	0	0.469	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	24	S9516	n7582	WL	0	11_7	WT	F	S	Highly Active	1	n7972	10/8/20	10/22/20	9.493	1	1	1	3.234 on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	25	S9290	n7575	BF	0	15_17	WT	M	L	Inactive	0												0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	26	S9332	n7577	BF	0	12_12	WT	M	S	Highly Active	1	n7979	10/8/20	10/22/20	9.548	1	0	1	7.185	0	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	27	S9520	n7582	WL	0	11_7	WT	M	L	Inactive	0	n7971	10/8/20	10/13/20	9.93	0	0	0	7.496	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	28	S9451	n7583	WL	0	1_1	WT	F	L	Inactive	0	n7968	10/8/20	10/13/20	10.071	0	0	0	0.663	0	s		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	29	T0774	n7890	MF	1	7429_7427	F20	F	L									1					1
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	30	S9507	n7588	WL	0	1_2	WT	M	S	Active	1	n7976	10/8/20	10/22/20	10.185	1	0	1	on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	31	S9277	n7578	WL	0	3_3	WT	F	S	Active	1	n7976	10/8/20	10/22/20	10.185	1	0	1	on carcass	1	NA		0
Loc1001	Monitor20201001_1005_soil	warmroom	soil	LD_4	32	S9356	n7577	BF	0	12_12	WT	M	L	Active	1	n7977	10/8/20	10/13/20	9.394	0.5	0	0	on carcass	1	y		0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	1	S9585	n7585	WL	0	5_3	WT	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	2	S9550	n7568	WL	0	3_1	WT	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	3	T2124	NA	BF	0	3	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	4	S9562	n7580	BF	0	16_16	WT	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	5	T2137	NA	BF	0	10	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	6	T2120	NA	BF	0	2	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	7	T2134	NA	BF	0	8	WC	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	8	S9587	n7585	WL	0	5_3	WT	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	9	T2119	NA	BF	0	1	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	10	T2128	NA	BF	0	7	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	11	T2136	NA	BF	0	8	WC	F	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	12	T2130	NA	BF	0	8	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	13	T2125	NA	BF	0	3	WC	M	L														0
Loc1016	Monitor20201016_1024_soil	warmroom	soil	LD_DD_8	14	T1835	NA	WL	0	5	WC	M	L														0
